연도,시도,행정구,교육지원청,학교급,고등학교유형,학교세부유형,학교명,본분교,설립,상태,지역규모,학교개교일,우편번호,도로명주소,전화번호,팩스번호,홈페이지,학생수,도서관(실)수,좌석수,장서수,Unnamed: 22,Unnamed: 23,사서,사서교사,직원(사서자격증보유여부),Unnamed: 27,Unnamed: 28,예산액(단위:원),Unnamed: 30,Unnamed: 31,좌석당학생수,1인당장서수
2022,서울,종로구,서울시,고등학교,특목고,국제고등학교,서울국제고등학교,본교,공립,기존(원)교,특별/광역시,20080507,030-66 ,서울특별시 종로구 성균관로13길 40 . 서울국제고 (명륜1가),02-743-9385,02-743-9409,http://sghs.sen.hs.kr,421,1,65,34103,32754,1349,0,0.0,1,1,0,39300000,39000000,300000,6.5,81.0
2022,서울,종로구,서울시,고등학교,특성화고(직업),상업고등학교,경기상업고등학교,본교,공립,기존(원)교,특별/광역시,19230514,030-47 ,서울특별시 종로구 자하문로 136 (청운동),02-737-6490,02-722-0504,http://ggc.sen.hs.kr,413,1,25,18526,18163,363,0,0.0,1,0,1,12870000,11500000,1370000,16.5,44.9
2022,서울,종로구,서울시,고등학교,특성화고(직업),상업고등학교,서일문화예술고등학교,본교,사립,기존(원)교,특별/광역시,19661208,030-94 ,서울특별시 종로구 지봉로17길 49 . 서일국제경영고등학교 (창신동. 서일국제경영고등학교),02-745-6221,02-765-8573,http://www.seo-il.hs.kr,319,1,10,9376,9116,260,0,0.0,1,0,1,7600000,6000000,1600000,31.9,29.4
2022,서울,종로구,서울시,고등학교,특성화고(직업),상업고등학교,대동세무고등학교,본교,사립,기존(원)교,특별/광역시,19250418,030-57 ,서울특별시 종로구 계동길 84-10 . 대동세무고등학교 (계동),02-763-1631,02-763-1632,http://daedong.sen.hs.kr,566,1,40,25445,25183,262,1,1.0,0,0,0,12050000,9500000,2550000,14.2,45.0
2022,서울,종로구,중부,초등학교,,초등학교,서울대학교사범대학부설초등학교,본교,국립,기존(원)교,특별/광역시,19460822,030-87 ,서울특별시 종로구 대학로 64 (동숭동.서울사대부설초등학교),02-768-1500,02-766-4085,http://www.snu.es.kr,613,1,50,35788,34935,853,1,1.0,0,0,0,15000000,12000000,3000000,12.3,58.4
2022,서울,종로구,중부,초등학교,,초등학교,서울교동초등학교,본교,공립,기존(원)교,특별/광역시,18940918,031-32 ,서울특별시 종로구 삼일대로 446 (경운동),02-765-2884,02-765-9876,http://kyodong.sen.es.kr,178,1,44,17588,17300,288,0,0.0,1,1,0,10500000,8200000,2300000,4.0,98.8
2022,서울,종로구,중부,초등학교,,초등학교,서울독립문초등학교,본교,공립,기존(원)교,특별/광역시,19570928,030-25 ,서울특별시 종로구 통일로12길 23 (무악동. 독립문초등학교),02-737-4684,02-723-4360,http://dnm.sen.es.kr,468,1,25,14047,14047,0,0,0.0,1,1,0,12091000,10568000,1523000,18.7,30.0
2022,서울,종로구,중부,초등학교,,초등학교,서울매동초등학교,본교,공립,기존(원)교,특별/광역시,18951115,030-27 ,서울특별시 종로구 사직로9길 19 . 서울매동초등학교 (필운동),02-737-4263,02-723-5483,http://maedong.sen.es.kr,194,1,30,14529,13685,844,0,0.0,1,1,0,10000000,8500000,1500000,6.5,74.9
2022,서울,종로구,중부,초등학교,,초등학교,서울명신초등학교,본교,공립,기존(원)교,특별/광역시,19711006,030-93 ,서울특별시 종로구 낙산길 250 (창신동),02-766-1415,02-747-0751,http://myungshin.sen.es.kr,307,1,36,18408,18261,147,0,0.0,1,1,0,6000000,5000000,1000000,8.5,60.0
2022,서울,종로구,중부,초등학교,,초등학교,서울세검정초등학교,본교,공립,기존(원)교,특별/광역시,19481124,030-14 ,서울특별시 종로구 세검정로9길 1 (신영동.서울세검정초등학교),02-379-3004,02-394-9379,http://segumjung.sen.es.kr,866,1,36,19701,19691,10,0,0.0,1,1,0,20074000,12474000,7600000,24.1,22.7
2022,서울,종로구,중부,초등학교,,초등학교,서울재동초등학교,본교,공립,기존(원)교,특별/광역시,18950810,030-56 ,서울특별시 종로구 북촌로4길 7 . 서울재동초등학교 (가회동),02-763-1812,02-765-9421,http://jaedong.sen.es.kr,230,1,34,14104,13800,304,0,0.0,1,1,0,15160000,12160000,3000000,6.8,61.3
2022,서울,종로구,중부,초등학교,,초등학교,서울창신초등학교,본교,공립,기존(원)교,특별/광역시,19160520,031-03 ,서울특별시 종로구 지봉로 73 . 서울창신초등학교 (창신동),02-763-3160,02-764-8826,http://chang-shin.sen.es.kr,398,1,44,18365,18132,233,0,0.0,1,1,0,19672000,12000000,7672000,9.0,46.1
2022,서울,종로구,중부,초등학교,,초등학교,서울청운초등학교,본교,공립,기존(원)교,특별/광역시,19230401,030-32 ,서울특별시 종로구 자하문로 105 . 청운초등학교 (청운동),02-737-0218,02-722-0984,http://chungwoon.sen.es.kr,475,1,60,21652,21029,623,0,0.0,1,1,0,21750000,12000000,9750000,7.9,45.6
2022,서울,종로구,중부,초등학교,,초등학교,서울혜화초등학교,본교,공립,기존(원)교,특별/광역시,19100125,030-67 ,서울특별시 종로구 혜화로 32 . 서울혜화초등학교 (혜화동),02-762-6437,02-762-0412,http://www.hyehwa-e.seoul.kr,532,1,60,22737,22157,580,0,0.0,1,1,0,12756000,10610000,2146000,8.9,42.7
2022,서울,종로구,중부,초등학교,,초등학교,서울효제초등학교,본교,공립,기존(원)교,특별/광역시,18951115,031-26 ,서울특별시 종로구 대학로 12 . 서울효제초등학교 (효제동),02-742-5760,02-764-5393,http://hyoje.sen.es.kr,189,1,35,21714,21493,221,1,1.0,0,0,0,13300000,10000000,3300000,5.4,114.9
2022,서울,종로구,중부,초등학교,,초등학교,상명대학교사범대학부속초등학교,본교,사립,기존(원)교,특별/광역시,19660517,030-15 ,서울특별시 종로구 홍지문2길 1 (홍지동. 상명초등학교),02-379-8033,02-379-2057,http://sangmyung-ae.sen.es.kr,332,1,40,19203,19172,31,0,0.0,1,0,1,5500000,2500000,3000000,8.3,57.8
2022,서울,종로구,중부,초등학교,,초등학교,운현초등학교,본교,사립,기존(원)교,특별/광역시,19860304,031-31 ,서울특별시 종로구 삼일대로 460 . (운니동. 운현초등학교 (운니동),02-765-0896,02-745-4206,http://www.unhyun.es.kr,179,1,36,13516,13516,0,0,0.0,1,1,0,4500000,3000000,1500000,5.0,75.5
2022,서울,종로구,중부,중학교,,일반중학교,서울대학교사범대학부설여자중학교,본교,국립,기존(원)교,특별/광역시,19460901,030-87 ,서울특별시 종로구 대학로 64 . 서울대학교사범대학부설여자중학교 (이화동),02-762-5252,02-745-0664,http://snu.sen.ms.kr,362,1,28,20071,18698,1373,0,0.0,1,1,0,16000000,8000000,8000000,12.9,55.4
2022,서울,종로구,중부,중학교,,일반중학교,청운중학교,본교,공립,기존(원)교,특별/광역시,19520201,030-47 ,서울특별시 종로구 창의문로 51 (청운동),02-737-0581,02-723-4370,https://cheongun.sen.ms.kr,407,1,40,27196,26997,199,0,0.0,1,1,0,30140000,14000000,16140000,10.2,66.8
2022,서울,종로구,중부,중학교,,일반중학교,경신중학교,본교,사립,기존(원)교,특별/광역시,18850509,030-67 ,서울특별시 종로구 혜화로 74 (혜화동.경신중고등학교),02-762-0313,02-763-6034,http://www.ksms.ms.kr,237,1,42,3954,3954,0,0,0.0,1,1,0,14300000,10800000,3500000,5.6,16.7
2022,서울,종로구,중부,중학교,,일반중학교,대신중학교,본교,사립,기존(원)교,특별/광역시,19380405,030-29 ,서울특별시 종로구 사직로 9 (행촌동),02-736-0317,070-8668-1995,http://dae-shin.sen.ms.kr,349,1,44,11035,10539,496,0,0.0,1,1,0,8200000,4500000,3700000,7.9,31.6
2022,서울,종로구,중부,중학교,,일반중학교,동성중학교,본교,사립,기존(원)교,특별/광역시,19381208,030-83 ,서울특별시 종로구 대학로 156 동성중학교 (혜화동 90-7),02-3671-9197,02-765-8239,http://sds.sen.ms.kr,246,1,45,11258,10985,273,0,0.0,1,1,0,5000000,2500000,2500000,5.5,45.8
2022,서울,종로구,중부,중학교,,일반중학교,중앙중학교,본교,사립,기존(원)교,특별/광역시,19080620,030-51 ,서울특별시 종로구 창덕궁길 164 중앙중학교 (계동),02-742-1325,02-745-3643,https://choongang.sen.ms.kr/,193,1,32,20794,20638,156,0,0.0,1,1,0,11600000,11000000,600000,6.0,107.7
2022,서울,종로구,중부,중학교,,일반중학교,덕성여자중학교,본교,사립,기존(원)교,특별/광역시,19461001,030-62 ,서울특별시 종로구 율곡로3길 49 (송현동),02-733-4807,02-720-0972,https://duksung.sen.ms.kr/,138,1,86,11934,11696,238,0,0.0,1,1,0,8100000,7000000,1100000,1.6,86.5
2022,서울,종로구,중부,중학교,,일반중학교,배화여자중학교,본교,사립,기존(원)교,특별/광역시,18981002,030-27 ,서울특별시 종로구 필운대로1길 34 배화여자중학교,02-725-6451,02-725-4934,http://www.paiwha.ms.kr,441,1,30,20908,20180,728,0,0.0,1,1,0,8900000,7000000,1900000,14.7,47.4
2022,서울,종로구,중부,중학교,,일반중학교,상명대학교사범대학부속여자중학교,본교,사립,기존(원)교,특별/광역시,19661101,030-16 ,서울특별시 종로구 홍지문2길 20 (홍지동),02-394-8672,02-6927-0229,http://sangmyung-agm.sen.ms.kr,264,1,26,13800,13481,319,0,0.0,1,1,0,15700000,8900000,6800000,10.2,52.3
2022,서울,중구,서울시,고등학교,일반고,일반고등학교,성동고등학교,본교,공립,기존(원)교,특별/광역시,19490824,045-79 ,서울특별시 중구 퇴계로90길 17 . 성동고등학교 (신당동),02-2237-2412,02-2237-5748,http://sungdong.sen.hs.kr,411,1,81,24881,24744,137,1,1.0,0,0,0,19700000,16000000,3700000,5.1,60.5
2022,서울,중구,서울시,고등학교,일반고,일반고등학교,장충고등학교,본교,사립,기존(원)교,특별/광역시,19470901,046-03 ,서울특별시 중구 동호로15길 93 장충고등학교,02-2233-9990,02-2238-6660,http://www.jangchung.hs.kr,363,1,36,16298,15749,549,1,1.0,0,0,0,20600000,13600000,7000000,10.1,44.9
2022,서울,중구,서울시,고등학교,일반고,일반고등학교,환일고등학교,본교,사립,기존(원)교,특별/광역시,19470624,045-00 ,서울특별시 중구 환일길 47 (만리동2가),02-390-7202,02-363-5200,http://hwanil.hs.kr,529,1,49,16355,16355,0,0,0.0,0,0,0,13020000,12280000,740000,10.8,30.9
2022,서울,중구,서울시,고등학교,자율고,일반고등학교,이화여자고등학교,본교,사립,기존(원)교,특별/광역시,18860531,045-16 ,서울특별시 중구 정동길 . 26 (정동),02-752-3353,02-319-0669,http://www.ewha.hs.kr,1150,1,66,47646,44704,2942,1,1.0,1,1,0,22000000,15000000,7000000,17.4,41.4
2022,서울,중구,서울시,고등학교,특목고,외국어고등학교,이화여자외국어고등학교,본교,사립,기존(원)교,특별/광역시,19910911,045-16 ,서울특별시 중구 통일로4길 30 (순화동),02-2176-1992,02-2176-1993,http://www.ewha-gfh.hs.kr,390,1,24,15411,15366,45,0,0.0,0,0,0,6600000,6000000,600000,16.3,39.5
2022,서울,중구,서울시,고등학교,특성화고(직업),공업고등학교,성동공업고등학교,본교,공립,기존(원)교,특별/광역시,19440401,045-71 ,서울특별시 중구 다산로 290 (흥인동),070-868-5760,02-2234-1950,http://sdth.sen.hs.kr,548,1,40,16720,16720,0,0,0.0,0,0,0,10220000,10000000,220000,13.7,30.5
2022,서울,중구,서울시,고등학교,특성화고(직업),공업고등학교,리라아트고등학교,본교,사립,기존(원)교,특별/광역시,19520520,046-28 ,서울특별시 중구 소파로2길 24 (예장동),02-775-6546,02-319-0681,http://www.lila.hs.kr,385,1,5,9642,9642,0,0,0.0,1,0,1,4400000,4000000,400000,77.0,25.0
2022,서울,중구,서울시,고등학교,특성화고(직업),공업고등학교,한양공업고등학교,본교,사립,기존(원)교,특별/광역시,19450901,045-66 ,서울특별시 중구 을지로 299 . 한양공업고등학교 (신당동),070-4831-3984,02-2235-3154,http://hanyang.sen.hs.kr,757,1,60,13523,13523,0,1,1.0,0,0,0,12000000,10000000,2000000,12.6,17.9
2022,서울,중구,서울시,고등학교,특성화고(직업),상업고등학교,성동글로벌경영고등학교,본교,공립,기존(원)교,특별/광역시,19610303,045-66 ,서울특별시 중구 퇴계로 375 (신당동. 성동글로벌경영고등학교),02-2252-1932,02-2235-7150,https://sdglobal.sen.hs.kr,327,1,48,23567,22499,1068,0,0.0,1,0,1,4900000,3000000,1900000,6.8,72.1
2022,서울,중구,서울시,고등학교,특성화고(직업),상업고등학교,서울의료보건고등학교,본교,사립,기존(원)교,특별/광역시,19921002,045-02 ,서울특별시 중구 만리재로37길 30 . 서울의료보건고등학교 (만리동1가),02-392-6666,02-392-2233,http://smh.sen.hs.kr,287,1,36,12836,12295,541,0,0.0,0,0,0,2300000,2000000,300000,8.0,44.7
2022,서울,중구,서울시,고등학교,특성화고(직업),상업고등학교,대경생활과학고등학교,본교,사립,기존(원)교,특별/광역시,19560416,045-92 ,서울특별시 중구 매봉18길 111 . 대경생활과학고등학교 (신당동),02-2234-0798,02-2237-9142,http://www.daekyeong.hs.kr,400,1,29,14890,14751,139,1,1.0,0,0,0,6900000,5000000,1900000,13.8,37.2
2022,서울,중구,중부,초등학교,,초등학교,서울광희초등학교,본교,공립,기존(원)교,특별/광역시,18950719,045-69 ,서울특별시 중구 다산로 269 (신당동.광희초등학교),02-2238-8455,02-2236-8349,http://gwanghee.sen.es.kr,268,1,24,17535,17352,183,0,0.0,1,1,0,11380000,10800000,580000,11.2,65.4
2022,서울,중구,중부,초등학교,,초등학교,서울남산초등학교,본교,공립,기존(원)교,특별/광역시,19451101,046-29 ,서울특별시 중구 퇴계로22길 17 서울남산초등학교 (남산동2가),02-2097-9500,02-773-6435,http://namsan.sen.es.kr,218,1,26,13989,13779,210,0,0.0,1,1,0,7300000,7000000,300000,8.4,64.2
2022,서울,중구,중부,초등학교,,초등학교,서울덕수초등학교,본교,공립,기존(원)교,특별/광역시,19120401,045-19 ,서울특별시 중구 덕수궁길 140 서울덕수초등학교 (정동),02-735-7225,02-720-9104,http://deoksoo.sen.es.kr,457,1,60,25644,24892,752,0,0.0,1,1,0,12000000,8500000,3500000,7.6,56.1
2022,서울,중구,중부,초등학교,,초등학교,서울봉래초등학교,본교,공립,기존(원)교,특별/광역시,18950918,045-01 ,서울특별시 중구 손기정로 73 (만리동2가),02-392-5469,02-362-5506,http://seoul-bongrae.sen.es.kr,415,1,38,23423,23395,28,0,0.0,1,1,0,19000000,15000000,4000000,10.9,56.4
2022,서울,중구,중부,초등학교,,초등학교,서울장충초등학교,본교,공립,기존(원)교,특별/광역시,19531021,046-09 ,서울특별시 중구 청구로17길 40 . 서울장충초등학교 (신당동),02-2238-1795,02-2237-9346,http://jangchung.sen.es.kr,353,1,36,22057,21606,451,0,0.0,1,0,1,17266000,11764000,5502000,9.8,62.5
2022,서울,중구,중부,초등학교,,초등학교,서울청구초등학교,본교,공립,기존(원)교,특별/광역시,19451101,045-89 ,서울특별시 중구 다산로 170 (신당동.청구초등학교),02-2252-1866,02-2233-5943,http://cheonggu.sen.es.kr,570,1,56,36661,35163,1498,0,0.0,1,1,0,3800000,2000000,1800000,10.2,64.3
2022,서울,중구,중부,초등학교,,초등학교,서울충무초등학교,본교,공립,기존(원)교,특별/광역시,19560324,046-18 ,서울특별시 중구 퇴계로50길 13 (장충동2가. 충무초등학교),02-2279-4697,02-2267-8998,http://seoulchungmu.sen.es.kr,208,1,60,15399,15397,2,0,0.0,1,1,0,9570000,6000000,3570000,3.5,74.0
2022,서울,중구,중부,초등학교,,초등학교,서울흥인초등학교,본교,공립,기존(원)교,특별/광역시,19461114,045-86 ,서울특별시 중구 청구로6길 11 (신당동.흥인초등학교),02-2235-4092,02-2232-0795,http://heungin.sen.es.kr,369,1,40,16683,16677,6,0,0.0,1,1,0,11750000,10350000,1400000,9.2,45.2
2022,서울,중구,중부,초등학교,,초등학교,서울신당초등학교,본교,공립,기존(원)교,특별/광역시,20070301,045-79 ,서울특별시 중구 난계로 141 (신당동),02-2232-2892,02-2232-0654,http://shindang.sen.es.kr,334,1,32,20840,19883,957,0,0.0,1,0,1,12500000,9400000,3100000,10.4,62.4
2022,서울,중구,중부,초등학교,,초등학교,동산초등학교,본교,사립,기존(원)교,특별/광역시,19660310,045-92 ,서울특별시 중구 매봉18길 109 동산초등학교 (신당동),02-6263-8104,02-2252-6558,http://seoul-dongsan.es.kr,560,1,10,5294,5294,0,0,0.0,1,1,0,11300000,10000000,1300000,56.0,9.5
2022,서울,중구,중부,초등학교,,초등학교,리라초등학교,본교,사립,기존(원)교,특별/광역시,19650301,046-28 ,서울특별시 중구 소파로2길 7 (예장동),02-777-7461,02-774-2900,http://www.lila.es.kr,480,1,32,21216,20537,679,0,0.0,1,1,0,11500000,10000000,1500000,15.0,44.2
2022,서울,중구,중부,초등학교,,초등학교,숭의초등학교,본교,사립,기존(원)교,특별/광역시,19660225,046-28 ,서울특별시 중구 소파로2길 10 (예장동.숭의여자대학),02-3708-9409,02-755-4266,http://www.soongeui.es.kr,534,1,48,17632,17494,138,0,0.0,0,0,0,12200000,11200000,1000000,11.1,33.0
2022,서울,중구,중부,중학교,,일반중학교,덕수중학교,본교,공립,기존(원)교,특별/광역시,19100413,045-48 ,서울특별시 중구 마른내로9길 10 (인현동2가. 덕수중학교),02-2265-9077,02-2269-2742,http://ducksu.sen.ms.kr,244,1,45,15620,15210,410,0,0.0,1,1,0,9000000,8000000,1000000,5.4,64.0
2022,서울,중구,중부,중학교,,일반중학교,금호여자중학교,본교,공립,기존(원)교,특별/광역시,19690303,045-87 ,서울특별시 중구 청구로 6 . 금호여자중학교 본관동(주1) (신당동),070-4050-5632,070-4050-5645,http://kumho.sen.ms.kr,209,1,55,17543,16855,688,0,0.0,1,1,0,15300000,15000000,300000,3.8,83.9
2022,서울,중구,중부,중학교,,일반중학교,장원중학교,본교,공립,기존(원)교,특별/광역시,19681002,046-03 ,서울특별시 중구 동호로15길 93-34 (신당동),02-2234-9829,02-2238-3761,http://jangwon.sen.ms.kr,227,1,36,17007,16096,911,0,0.0,1,1,0,6700000,5000000,1700000,6.3,74.9
2022,서울,중구,중부,중학교,,일반중학교,창덕여자중학교,본교,공립,기존(원)교,특별/광역시,19451130,045-16 ,서울특별시 중구 정동길 22 . 창덕여자중학교 (정동),070-5125-4404,02-775-1854,http://cd.sen.ms.kr,220,1,50,12671,12652,19,0,0.0,1,1,0,22510000,9000000,13510000,4.4,57.6
2022,서울,중구,중부,중학교,,일반중학교,대경중학교,본교,사립,기존(원)교,특별/광역시,19560416,045-92 ,서울특별시 중구 매봉18길 111 (신당동),02-2235-0798,02-2235-9142,http://www.daekyeong.ms.kr,264,1,24,5768,5768,0,0,0.0,1,1,0,19000000,18000000,1000000,11.0,21.8
2022,서울,중구,중부,중학교,,일반중학교,장충중학교,본교,사립,기존(원)교,특별/광역시,19330414,046-03 ,서울특별시 중구 동호로15길 93 (신당동),070-8686-7003,02-2238-6660,http://www.jangchung.ms.kr,199,1,32,15577,15480,97,0,0.0,0,0,0,11100000,10100000,1000000,6.2,78.3
2022,서울,중구,중부,중학교,,일반중학교,한양중학교,본교,사립,기존(원)교,특별/광역시,19480701,045-66 ,서울특별시 중구 을지로 299 (신당동),070-4831-3987,02-2235-3154,http://hanyang.sen.ms.kr,164,1,32,10222,10141,81,0,0.0,0,0,0,12081000,9681000,2400000,5.1,62.3
2022,서울,중구,중부,중학교,,일반중학교,환일중학교,본교,사립,기존(원)교,특별/광역시,19470624,045-00 ,서울특별시 중구 환일길 47 (만리동2가),02-390-7204,02-363-5200,http://www.hwanil.ms.kr,147,1,15,8838,8730,108,0,0.0,1,1,0,12758000,9568000,3190000,9.8,60.1
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,용산고등학교,본교,공립,기존(원)교,특별/광역시,19460909,043-53 ,서울특별시 용산구 두텁바위로 60 (용산동2가.용산고등학교),02-3706-6700,02-318-4439,http://yongsan.sen.hs.kr,837,1,92,20437,19875,562,1,1.0,0,0,0,19248000,17748000,1500000,9.1,24.4
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,중경고등학교,본교,공립,기존(원)교,특별/광역시,19820301,044-26 ,서울특별시 용산구 이촌로84길 34 (이촌동),02-793-2540,02-796-5727,http://jungkyung.sen.hs.kr,387,1,36,11833,11809,24,0,0.0,0,0,0,11740000,6500000,5240000,10.8,30.6
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,배문고등학교,본교,사립,기존(원)교,특별/광역시,19551231,043-05 ,서울특별시 용산구 효창원로 258 (서계동),02-3480-7100,02-714-0062,http://www.baemoon.hs.kr,350,1,28,16152,15878,274,1,1.0,0,0,0,16540000,13200000,3340000,12.5,46.1
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,오산고등학교,본교,사립,기존(원)교,특별/광역시,19070515,043-96 ,서울특별시 용산구 보광로7길 17 (보광동),02-799-9500,02-799-9699,http://osan.sen.hs.kr,451,1,70,6969,6572,397,0,0.0,0,0,0,18200000,13000000,5200000,6.4,15.5
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,보성여자고등학교,본교,사립,기존(원)교,특별/광역시,19071010,043-38 ,서울특별시 용산구 신흥로3가길 66 보성여자고등학교 (용산동2가),070-4000-3135,02-798-4471,http://bosung.sen.hs.kr,396,1,83,20642,20157,485,1,1.0,0,0,0,21920000,15000000,6920000,4.8,52.1
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,성심여자고등학교,본교,사립,기존(원)교,특별/광역시,19600401,043-61 ,서울특별시 용산구 원효로19길 49 . 성심여자고등학교 (원효로4가),02-702-5501,02-711-6887,http://sacredheart.sen.hs.kr,435,1,118,34323,31517,2806,1,1.0,0,0,0,13840000,10900000,2940000,3.7,78.9
2022,서울,용산구,서울시,고등학교,일반고,일반고등학교,신광여자고등학교,본교,사립,기존(원)교,특별/광역시,19530608,043-13 ,서울특별시 용산구 청파로 263 . 학교법인신광학원 (청파동3가),02-710-6908,02-703-6910,http://www.shinkwang.hs.kr,246,1,70,34601,33081,1520,1,1.0,0,0,0,20500000,15500000,5000000,3.5,140.7
2022,서울,용산구,서울시,고등학교,특성화고(직업),공업고등학교,용산철도고등학교,본교,공립,기존(원)교,특별/광역시,19620305,043-88 ,서울특별시 용산구 서빙고로 24 (한강로3가. 용산철도고등학교),02-6905-7777,02-6905-7890,http://yongsan-th.sen.hs.kr,448,1,95,18525,17790,735,0,0.0,0,0,0,9000000,8000000,1000000,4.7,41.4
2022,서울,용산구,서울시,고등학교,특성화고(직업),공업고등학교,서울디지텍고등학교,본교,사립,기존(원)교,특별/광역시,19750301,043-46 ,서울특별시 용산구 회나무로12길 27 (이태원동),02-798-3641,02-794-0822,http://www.sdh.hs.kr,254,1,26,3885,3855,30,0,0.0,0,0,0,4700000,4500000,200000,9.8,15.3
2022,서울,용산구,서울시,고등학교,특성화고(직업),상업고등학교,선린인터넷고등학교,본교,공립,기존(원)교,특별/광역시,18990624,043-14 ,서울특별시 용산구 원효로97길 33-4 (청파동3가),02-713-6211,02-704-0960,http://sunrint.sen.hs.kr,771,1,27,18555,18169,386,0,0.0,0,0,0,8000000,6500000,1500000,28.6,24.1
2022,서울,용산구,중부,초등학교,,초등학교,서울금양초등학교,본교,공립,기존(원)교,특별/광역시,19150915,043-18 ,서울특별시 용산구 효창원로 137 . 서울금양초등학교 (효창동),02-704-2901,02-713-0738,http://keumyang.sen.es.kr,684,1,28,13351,13351,0,0,0.0,1,1,0,17450000,9800000,7650000,24.4,19.5
2022,서울,용산구,중부,초등학교,,초등학교,서울남정초등학교,본교,공립,기존(원)교,특별/광역시,19451101,043-68 ,서울특별시 용산구 원효로64길 17-10 . 서울남정초등학교 (원효로2가),02-712-8938,070-4050-5268,http://seoul-nj.sen.es.kr,311,1,42,16903,16903,0,0,0.0,1,1,0,12250000,10000000,2250000,7.4,54.4
